follow,blizzardsolution67,fcbarcelona,null
like,blizzardsolution67,lukamodric10,2
follow,ouracc123,snoopdogg,null
follow,blizzardsolution67,garethbale11,null
follow,morganbigman,natgeo,null
like,blizzardsolution67,kimkardashian,3
follow,blizzardsolution67,sterling7,null
follow,blizzardsolution67,kreida,null
like,blizzardsolution67,sterling7,2
